sentiment,airline,text
negative,United,@United @UnitedAirlines and the hits keep on coming. http://t.co/44ZHmfDIW6 #unitedfail #unitedwithivy
negative,US Airways,@USAirways 40 minutes in baggage claim and no sign of luggage from our flight. UsAirways- your incompetence is overwhelming
positive,United,@united thank you for flying me out of the mess at IAD and out to San Diego. http://t.co/tlPBaupIk5
negative,US Airways,@USAirways can you please help me find my luggage since you're the one who lost it? Your customer service SUCKS.
negative,American,"@AmericanAir @MO3TVida just so you know, reservations team has a 2+ hr callback time"
neutral,United,@united Why have airlines always told us they can't open a cabin door once it has been closed?  This plane has done it 3 times tonight.
neutral,American,@AmericanAir Did the policy change? I've seen people with hamsters and rabbits before.
negative,US Airways,@USAirways I already let them know and sent 4 complaints.  Got a call back finally when I was asleep and there is no return call back #
negative,American,@AmericanAir thx for showing me that your Twitter appreciates me more than your employees. Sure another airline would like my $1300 #nohotel
negative,Southwest,@SouthwestAir please PM me the number where I can lodge formal complaints. Thx
negative,American,"@AmericanAir 1491 DEN -&gt; DFW. We don't want to be ticketed on a new flight, just refunded for our Cancelled Flighted flight."
negative,US Airways,@USAirways flight 435 is delayed so will miss connecting flight 457 can you please help with alternate? Thank you.
negative,United,"@united THAT'S the tweet u choose to answer, to tell me you're not liable?! #youretheworst #neveragain"
negative,United,@united 1k member broken seat back broken tv broken light lost bag  gee thnx. UA922 awesome job
negative,American,"@AmericanAir but, what I can always rely on when I fly USAir or American is that employees will be rude and unhappy."
negative,American,@AmericanAir wht n 👎 experience w/aa reservations #service Tried to be patient with rep and she just disconnects me aa do u record conv.?
negative,United,@united I bought a ticket with a price that was published by mistake and now I got an email that indicates United Cancelled Flightled my ticket! Why?
negative,United,@united flight was too heavy so had to fly BACK to Palm Springs (after being in the air for 30 mins)
negative,US Airways,"@USAirways very disappointed I wasn't ""allowed"" to change seats after checking in early online for a flight tomorrow morning."
negative,Southwest,.@SouthwestAir 3 days &amp; still not home. Not even off the ground. 3. Days. #PastMyPatienceExpirationDate
negative,American,"@AmericanAir Stuck in Miami, and one of the worst customer experiences I have ever had. Will be sure to let everyone know about my time w/AA"
negative,United,@united 3 times I've called customer services each at least 40 mins... Each time cut off by your operators... Why can't you call me back!
positive,Virgin America,@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI
neutral,Southwest,@SouthwestAir honesty should always be the policy
positive,US Airways,@USAirways thanks for getting us on ur plane. Awesome flight attendant who is making us smile after difficult travel. #customerservice
positive,Delta,@JetBlue is amazing. Had a short delay. They gave me $150 credit! It was literally pretty much my fault I missed the flight.
negative,American,"@AmericanAir oh I did. All I received back was an email saying "" delays happen"".. Uh huh.."
negative,US Airways,@USAirways I booked a flight yesterday but didnt receive an email confirmation and I my dividends number isn't registering. Please help.
negative,American,"@AmericanAir @naomi_cooper Are you out of your mind, AA? What is the point of this Twitter acct? Form letters in 140 characters or less?"
negative,US Airways,@USAirways  well its 11:45am and just got an email that my 11am flight is delayed-thats not right
positive,US Airways,"@USAirways Frustrating days!No flights home, changed airlines. Thank you PHL USAirway employees &amp; @united for help getting me back to IAH."
negative,American,@AmericanAir that doesn't really answer my question. Maybe if I provide more details you can give me clarification...
neutral,American,@AmericanAir dmed the name
positive,United,@united flight 1491...plane from SFO to DEN is basically on time.
negative,US Airways,@USAirways over an hour is unacceptable wait time. thanks for nothing.  Be sure never to fly you again
negative,US Airways,"@USAirways delayed in philly since 130, sitting onTarmac since 8pm flight 1881 plz contact donaldaroberts1@gmail.com"
negative,United,@united what a long day of delays. Please get us to Dallas tonight!!!!  Fingers crossed!!!  #winterstorm2015 #whichisworsedenordfw.
neutral,American,"@AmericanAir Hey, so... I think I left my wallet on you. Can I have it back, please?"
neutral,Delta,@JetBlue ...really?
negative,American,@AmericanAir keep trying to call to change reservation and you keep hanging up on me
positive,US Airways,@USAirways  big thank you to your ticketing agent Ute V at Dulles-Washington for OUTSTANDING guest service to get me rebooked
neutral,Southwest,@SouthwestAir I have followed you. Awaiting your DM.
positive,Delta,@JetBlue you guys operate a world class company and for that I thank you
negative,Southwest,@SouthwestAir luxury! Only 40 people on this flight. I'm going to get spoiled.
negative,Southwest,@SouthwestAir = easy and pleasant. @united = difficult and stressful. Learned my lesson.
negative,American,@AmericanAir it's beyond complicated now and it feels like when I used to fly with United. Platinum means nothing.
negative,Southwest,@SouthwestAir What's up with the wait times on your customer service line? Tried 2X on Fri. and now I've been on for over 15 min.
neutral,United,@united DM ed u the request num
negative,United,"@united What happened this afternoon? Huge amt of incoming planes to SFO delayed over 1-2 hours.
Frustrating!"
negative,Delta,@JetBlue once again my flight is delayed. I hope I dont miss my  connecting. Please don't fuck me... I have a girlfriend -_-
negative,Delta,"It's on me, @JetBlue! That's not what you said last night, though... :("
negative,United,@united your service sucks to Mexico from houston. You finally realized that snacks in1st don't work you cheap as);:
negative,United,@united this 2 hr delay is a vacation buzzkill
negative,Delta,@JetBlue You also promised to change my wife's name on the account and it is also not done.  WTF?
negative,US Airways,@USAirways I've been trying to call you for days and every time the system is overloaded and disconnects. Really?  A global company?  Help!
positive,Southwest,@SouthwestAir I changed my flight through St. Louis. Thanks for the reply though!
negative,United,"@united @upgrd I guess the Kit Kat looks tasty... not going near that ""sandwich."""
negative,Virgin America,@VirginAmerica hold times at call center are a bit much
neutral,United,"@united I have a LH return business ticket from Den to Fra.If I fly domestic with you,bag can be checked through to Fra,no need to claim?"
negative,Delta,@JetBlue doesn't help if I have to fly on specific days
neutral,Virgin America,"@VirginAmerica announces new nonstop connecting @AUStinAirport &amp; @DallasLoveField, $39 intro: http://t.co/qXnOaQtYN8 http://t.co/JK7qmdfqgf"
negative,US Airways,@USAirways ever think about hiring more agents? Come on now. Don't you think 4 hour holds is a little ridiculous? Get a clue
negative,United,@united 6377 and now they sent our green tagged bags to the luggage carousel. It's been one mess up after another. Bad day @united
negative,US Airways,"@USAirways Cancelled Flights flight Tampa to Philadelphia today due to runway conditions yet tonnes of USAirways flights landing there today, explain!"
positive,Virgin America,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!"
neutral,US Airways,"@USAirways what's the point of email stating I didn't get bumped to 1st class? I know I'm not in first class, I booked the regular ticket"
neutral,United,"@united @scotthroth scott, need a good book suggestion?"
negative,US Airways,"@USAirways worst experience with you. Cancelled Flightled flight, no voucher and no luggage because ""ramp was broken."" No other ramps in Charlotte??"
negative,Delta,@JetBlue 1242 now?! I may cry!
positive,United,@united holy high speed internet batman!  Speeds at United Club at IAD are insanely fast!  Thanks
positive,Southwest,@SouthwestAir Thank you Thank you Thank you!!! My last attempt to win #DestinationDragons tickets was a success! I could not be happier!! :)
negative,US Airways,@USAirways on the phone over an hour waiting for customer service  got wrong fight information cost us 6 hours from trip. Frustrating!!!
negative,American,@AmericanAir record locator oaaret got email we couldn't be rebooked but got no notification flight was Cancelled Flightled
negative,US Airways,@USAirways @corybronze  INCONVENIENCE? Are you people freaking nuts? This guy has TWO KIDS WITH HIM and you STRAND him in an airport! #FAIL
negative,US Airways,@USAirways flight 614 keeps telling a few more mins to take off its been an hour. First time with you not the best #lies #brokenpromises
negative,US Airways,@USAirways .... I've been trying to get through to book a reservation and the system will not let me through. Day 3 #ridiculous
neutral,Delta,“@JetBlue: Our fleet's on fleek. http://t.co/gHJBp5Gg67” why
negative,US Airways,@USAirways headed to NYC from CLT. Funny to hear all phones ring at once and then the entire plane groan (has happened twice more).
negative,US Airways,@USAirways Thanks but when I asked for a change with no cost for you the only desition was nade by computer. Now is Late Flight
neutral,Southwest,@SouthwestAir For the past 2 yrs I earned A-list status thru a promo-fly 3 rnd trips in 2-3 months. How can I get that option again? #loyal
negative,Southwest,@SouthwestAir are you kidding me?  I needed help yesterday. I'm now landed and waiting for my connection.  Never will I fly southwest again!
negative,American,@AmericanAir AND they Cancelled Flighted my flight and left me with no help to find a hotel to stay in. I slept in an airport for a night-_-
positive,US Airways,"“@USAirways: @jdbwaffles We're excited to have you fly with us, JB! When will this be?” Spring Break !!!"
negative,US Airways,@USAirways what am I paying you $275 for?   Fly the damn plane!  Not one announcement from the crew.  Let me know how you wanna refund me.
negative,United,"@united In 2015, United is ""unable"" to look up a flight reservation by passenger name at the YYZ check-in counter - WOW smh #customerservice"
negative,Delta,"@JetBlue no, I haven't done that yet. Is that something I can do online? Thx!"
negative,United,@united I hope you have a solution or insurance to cover this issue
positive,Southwest,@southwestair Amazing view on the approach to LAX tonight. http://t.co/a68d5fULmH
neutral,Virgin America,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
negative,Delta,"@JetBlue you stood me up last night, but I'm giving you a second chance. I'm just a boy, tweeting an airline, asking them to fly him home."
negative,United,@united I like delays less than you because I'm the one on the plane. Connect me with a voucher
neutral,Southwest,@SouthwestAir #DestinationDragons Any word on winners of contest? Any chance for tix for the Provo DestinationDragons show? Fingers Crossed!
neutral,Southwest,@SouthwestAir Could you maybe hook (@FuyukaiDesuYo ) with some imagine dragon tickets tonight! SHES a HUGEEEEE FAN &amp; would really love to go
neutral,US Airways,@USAirways @USAirways I used my AAdvantage Number connected to the USAirways when I booked tickets for friends. Will it benefit my account?
positive,United,@united of course not. The inflight crew was great!
positive,Southwest,@SouthwestAir filing it now. Thank you for your response.
negative,US Airways,@USAirways on hold for 2+ hours.. Can I book using a Take Flight voucher online??
negative,Southwest,@SouthwestAir flights from sunny SFO delayed for hours and others Cancelled Flightled left and right with little updates. Any help @SouthwestAir?
negative,Delta,@JetBlue - He Cancelled Flightled a flight &amp; was given 2 weeks to apply travel bank credit to another flight &amp; credit was transferable
positive,American,@AmericanAir we made it so no worries... You guys did good tonight and even put @ESPN_CoachMack on my flight #firstclass
positive,Southwest,@SouthwestAir Southwest is definitely my favorite airline to fly! :D
negative,United,"@united If you consider 50 mins for bags @ 10:00pm on a Sunday night ""as fast as they can"", you should reconsider what you think that means."
negative,American,@AmericanAir now a delay to the rebooked flight?!
negative,United,@united UA1740 just admit you have no clue when flight will leave Denver. #unfriendlyskies
negative,Delta,@JetBlue according to jfk plenty of planes are landing. No problem there
negative,American,"@AmericanAir &amp; if that wasn't enough, your staff have been so rude &amp; ignored passengers,don't think that should be accepted whatever reason"
negative,American,@AmericanAir If the flight I selected online was what was ticketed I would not be missing my connection. I need help getting to DFW or IAH!!
negative,US Airways,@USAirways your phone system is not working at all I have been bumped again so now I am at 3 times I need to get out of mco
neutral,Southwest,@SouthwestAir Can my wife's RR points be transferred to my RR account?
positive,United,"@united I'll stick with my United flight. Thanks, though. Effort is much appreciated."
negative,United,@united i need it there before she lands so she can have the EWR baggage claim file to have it sent but the employee has not droppeditoffyet
negative,Southwest,@SouthwestAir @CBSsoxfan you get to hold? called twice only to be kicked off.calls 3-6 #phonedied #AListpreferred http://t.co/1TZZ0vbMbS
neutral,Virgin America,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
negative,Delta,"@JetBlue I tried! Had me running from curb-side to self-check &amp; wasting even more time. Ended up Flight Booking Problems United for $$$, am so upset"
negative,United,"@united well. As of yet, our checked bag has already vanished and we haven't left the airport yet."
negative,Southwest,"@SouthwestAir I did, but no one can find the bag and we need everything in it in the next two hours."
negative,Virgin America,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
negative,US Airways,@USAirways you guys Cancelled Flightled two of my flights yesterday and I checked the bag to Huntsville and it went missing in Philly.
negative,US Airways,"@USAirways I sympathize re:weather issues, but when times get tough, call in more folks. Over two hours on hold for 4-minute fix. #FAIL"
positive,United,@united thnx for the info
negative,US Airways,"@USAirways They don't stand alone for me, I bought tix based on USAir confirmed flight. What good is confirmation if you change it anyway?"
negative,US Airways,@USAirways no one is coming to line. On hold for 4 hours. Can u help here if I provide conf code?
negative,American,@AmericanAir it's not just frustrating--it was PAID for! how do we get a refund?
neutral,US Airways,@USAirways oh they saw it and said nothing.
negative,American,@AmericanAir extremely upset that your baggage handlers decide to go in my luggage and take my belongings
negative,United,@united installed and working are not the same. Kicked me out after an hour and wouldn't let me back in. Four wasted hours.
neutral,United,@United to start daily #B777-200ER flights from #Newark to #Frankfurt @airport_fra replacing #B767-400ER on 2JUL #avgeek
positive,Delta,@JetBlue thanks. Line moved quick. Already done.
negative,United,@united @MaxAbrahms *if* he needs assistance? Do you expect him to go on a Scooby Doo tour of terminals until he finds his stuff?
negative,Southwest,@SouthwestAir hates guitar players. Chgd for oversize AND extra bag on my acoustic guitar. Epic fail.
neutral,US Airways,@USAirways one question. Can I book one way tickets with award travel/points
negative,American,@AmericanAir you need to have a look at your handling of flight 106 and 104. Company of yours size should have protocols in place to help
positive,American,@AmericanAir thank you for NOT Cancelled Flighting all flights and putting my husbands life in danger driving in this weather. #safetyfirst
negative,Delta,"@JetBlue I fly w/u as much as I can, however your kiosks were broken in SYR and there was 1 woman working the ticket counter.. She had a"
negative,Delta,@JetBlue why is the buffalo flight so Late Flight?
negative,Southwest,@SouthwestAir I couldn't fly you today &amp; it made the trip harder + had to pay for my checked bag. #DevotedyYours but for today. :(
positive,United,"@united that would help! or how about integrate it into the App so I can just ""activate"" it and surf..."
positive,US Airways,@USAirways First class service on US 769 PHL-MCO today from the flight attendant in F. I didn't catch her name but she was top notch!
negative,Virgin America,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
negative,US Airways,"@USAirways the two women workng PHL bag check term C @ 11:30 ET should be fired for being rude, pushy and treating customers with disrespect"
neutral,United,@United are you able to see if there are seats open on another flight??
neutral,US Airways,@USAirways i ve been told that you get a percentage on every plastic bottle that is sold around yout departure section...turn up the heat
negative,Delta,@JetBlue really not acceptable. Just informed plane won't start. Chartering bus to take passengers to jfk.
negative,Southwest,@SouthwestAir flight yesterday Cancelled Flighted. Got to airport 4am today for an on time flight w was delayed Cancelled Flighted than reinstated which caused
negative,US Airways,"@USAirways Your customer service is  non-existent/ terrible. Dozens waiting for bags not placed on our flight, no staff anywhere #neveragain"
neutral,Delta,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Greenfield Daily Reporter http://t.co/LM3opxkxch
negative,US Airways,@USAirways printer problems causing us to sit on the runway for 45 mins. Get it together.
negative,US Airways,@USAirways  Have an agent with reservations contact me instead of asking me to waste my time by sitting on the phone for hours
negative,American,@AmericanAir your planes made me miss 2 connections in 2 days. Thanks for nothing
negative,Southwest,@SouthwestAir Being old I will miss my connection and can sleep at OAK or get a hotel on my own dime rubs me the wrong way. I wasn’t Late Flight.
positive,Delta,Thank U 😘 “@JetBlue: @ItsLaLoca But of course! Safety is always 1st!  We'll make sure to handle her with CARE and LOVE!  :)”
negative,US Airways,@USAirways waiting for bags now over 25min in Phl bag claim!
negative,United,"@united That's called throwing ""loyalty"" out the window and trying to give less awards."
positive,Southwest,"@SouthwestAir CEO Gary Kelly, ""We are America's most loved and most flown airline!"" #SouthwestRally #BWI #bestemployees #swaculture #swapic"
positive,US Airways,@USAirways - Huge props to Parizad at checkin in Sacramento for her help on Friday to get 3 of us home when other airlines were delayed
negative,Southwest,@SouthwestAir Feeling very frustrated that I bought WIFI onboard and can't load an email.
negative,Southwest,@SouthwestAir we are 2 mins from departure of 4125 and no announced update nor an update to on time status. Everyone just standing. #comeon
neutral,Delta,@JetBlue Thank you.
negative,American,@AmericanAir 12 calls in the span of two days........none of which available to speak to someone.  You are un F-in believable.  worst ever
positive,Delta,@jetblue always #mosaicmecrazy #sunrise #bestairline #nofilterneeded &amp; how can you not love #FlyFi… http://t.co/NY6CS7jRuV
positive,Delta,@JetBlue thanks to O StBernard for taking time to read through page to find info as supervisor felt to insist tho I showed previous comm
positive,United,@united social media team is on point on #OscarNight :)
negative,United,@united I hope so but I've received no help so far. I've been on hold for more than an hour. Can someone speak to me?
negative,American,@AmericanAir it isn't good enough. You need to provide a phone number. Other partners do. Should be investigated by @IATA @TheFAAOnline
negative,US Airways,@USAirways we bought our tickets months ago. Had seats together for all 6. Haven't changed flight. Now 4 kids seats are scattered on plane.
negative,United,@united--excited to barrel through the sky at 600mph on a 75 ton piece of metal operated by a company that can't get their tiny TVs to work!
negative,Southwest,@SouthwestAir  Just picked up my bag at SEATAC all the clothes are soaking wet... #bagawim http://t.co/nGxAl9OmL6
neutral,Delta,@JetBlue Received an invitation to participate in e-rewards. Is this legit from JetBlue? Just double checking bc the site looked different.
negative,American,@AmericanAir yes but not with much help from you guys
negative,American,@AmericanAir is there not an email address I can send my issue to? you guys screwed up and rebooked my flight to the wrong day!  please help
negative,US Airways,@USAirways site shows on-time but FlightAware site shows delayed. Trying to decide if I get out in this ice to catch FLT 456 to PHX.
neutral,Southwest,@SouthwestAir think you need to follow me for a DM
neutral,US Airways,@USAirways how can i get ahold of a reservations supervisor?
negative,Delta,@JetBlue someone is here but has no info smh one bag came off  and then nothing
negative,US Airways,@USAirways I have better Intel than she does!  She said plane is due in at 630.  Flightaware and your own app say 645
neutral,US Airways,"@USAirways If I know I left something on my last flight (as I literally had to run to make my connection), how can I retrieve it please?"
negative,American,@AmericanAir it is absolutely unacceptable.  I have been calling all day and am hung up on every time. I just need a 5 minute bit of help!
negative,US Airways,@USAirways what is the expected wait time to speak to someone via 800 number?
negative,Virgin America,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
positive,US Airways,@USAirways ok. Thank you
negative,United,@united yes we are in EWR and it was corrected but just the fact the it was beought up for us to share rooms is unexpactable
negative,American,@AmericanAir is there another line I can call when I am on hold for 5 hours? Also how can I get compensated for this loss of time and money?
positive,Delta,"@JetBlue  FLL to MDE, great flight, great customer service, THANKS! 2 mths waiting  @AmericanAir  to speak to a human at customer service"
neutral,US Airways,@USAirways need seat assignments for one leg of family's return flight - can you please help via Twitter PM?
negative,US Airways,@USAirways She was put on hold on that number for a loooooong time too.  No help. #lostandforgotten
negative,United,@united UA1731 - Denver to Austin...  Still on the ground...
negative,Delta,@JetBlue At what time?  All these passengers were sitting on a hot plane with no air and no communication for over 2 hours. Just wrong
negative,Delta,"@JetBlue making a bad situation worse. Cancelled Flighted flight, making us stay overnight in SXM. Won't provide vouchers to stay in a different hotel"
neutral,Delta,“@JetBlue: @maatkare67 We hope you're still our bae! @TatianaKing @thewayoftheid”haa man
negative,US Airways,@USAirways Missed flight. Rude CSR. No flight till Tuesday. No answer on twitter. Help me out with a RT @pattonoswalt you're my only hope.
negative,Southwest,@SouthwestAir My son's flight was Cancelled Flightled today. I was on hold 2+ hours to no avail. Can you help me rebook?
negative,American,@AmericanAir arrived in lax from ord flight AA1657 NO LUGGAGE
negative,United,@united the delay is due to customer service for 20 people?  What about the DIS-SERVICE you provided for 100+?  #FlightFail #Hour20Delay
negative,United,@united our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX.
negative,American,"@AmericanAir Way to suck at customer service, Dallas is trapped in an ice storm but you didn't Cancelled Flight 7am flight &amp; been on hold all day."
neutral,American,@AmericanAir please help us get home tomorrow!!!!!
negative,United,@united screws up again...to be expected! NEVER AGAIN!
negative,United,@united disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere  ✌️out.
negative,American,@AmericanAir merged airlines do not work for FF programs. Very frustrating and the gate agents are to busy pouting to care. #AttitudeIssues
positive,American,@AmericanAir thanks... I finally got through this afternoon.  :)
negative,United,@united Can you transfer my bags too?
positive,Delta,“@JetBlue: Our fleet's on fleek. http://t.co/JMnkJ6Bmc2” Jet Blizzue in the hizouse.
neutral,US Airways,@USAirways how do you have only 1 flight into lexington this afternoon with the #1 @KentuckyMBB playing a big game tonight?  #DoBetter
negative,US Airways,@USAirways how do I get off my plane and wait over an hour and a half to speak to someone about reFlight Booking Problems?
negative,United,"@united worried the cold weather or snow would delay us this morning, but no it was the pilots. #stillwaiting"
negative,American,@AmericanAir weather is unavoidable. Understaffing is controllable
negative,United,@united I tried 2 DM it would not go thru... not sure why
